GEOID,NAME,COUNTYFP,closeness,betweenness,density,per_pover2
17031070103,701.03,031,2.1464999736967223e-4,1643863.7405430095,0.007211575077102628,61
17031030701,307.01,031,2.1464999736967223e-4,1643863.7405430095,0.01023518726262517,139
17031030101,301.01,031,2.1464999736967223e-4,1643863.7405430095,0.003976790223051211,46
17031770602,7706.02,031,2.1464999736967223e-4,1643863.7405430095,3.699693305044999e-5,120
17031838800,8388,031,1.686542254281884e-4,1008475.0044387685,7.5393949396577945e-6,324
17031842300,8423,031,2.5448797920907056e-4,3039527.5874441992,1.8986317933587788e-4,34
17031836900,8369,031,2.1464999736967223e-4,1643863.7405430095,0.002359997685171374,253
17031839500,8395,031,0.00024571187059419333,1974953.2815575495,0.0012973637861300642,201
17031835800,8358,031,2.3889784051526968e-4,1996073.2502645308,0.0014847439623492532,251
17031831900,8319,031,2.3065987185530185e-4,2139762.4104781463,3.775679772419907e-4,337
17031841200,8412,031,2.665965909353902e-4,2117333.923248591,2.530710043614792e-4,210
17031832600,8326,031,2.4729112186620405e-4,1260488.7706268856,4.164687058975355e-4,390
17031841900,8419,031,2.6439516864039804e-4,2371827.3355159736,1.4115753788652212e-4,30
17031843200,8432,031,2.6070453384602165e-4,2236295.501358338,1.330312053093432e-4,165
17031843400,8434,031,2.1464999736967223e-4,1643863.7405430095,5.684780909369336e-4,248
17031842600,8426,031,2.514999163490539e-4,2325661.49854782,1.4621501635002528e-4,77
17031301803,3018.03,031,2.1464999736967223e-4,1643863.7405430095,4.5587715349418805e-4,234
17031063302,633.02,031,2.2934581656419288e-4,1189518.0050769139,0.002597265972761782,401
17031220701,2207.01,031,2.335263405656914e-4,1981040.4231785918,0.002096876070622914,106
17031660302,6603.02,031,2.392479235045566e-4,1106129.299668383,2.717431402968025e-4,192
17031252201,2522.01,031,2.2177424110293606e-4,931292.5757265184,0.0014313634021519085,218
17031730202,7302.02,031,2.0034517458807647e-4,1159695.1365651668,3.967391377742707e-4,24
17031835600,8356,031,2.390072294192836e-4,2594563.8308789674,2.513584243136309e-4,157
17031840000,8400,031,2.577479807239487e-4,1609461.55469567,6.661962184228282e-4,72
17031835700,8357,031,2.1464999736967223e-4,1643863.7405430095,0.0012107044127805816,311
17031843600,8436,031,2.2647711119549234e-4,407093.6900676206,0.0012116901992775904,217
17031836400,8364,031,2.1464999736967223e-4,1643863.7405430095,6.93267928522106e-4,159
17031836100,8361,031,2.1464999736967223e-4,1643863.7405430095,5.226646351115875e-4,230
17031834600,8346,031,2.3413214081039014e-4,2505549.5788839385,4.419315408888948e-5,306
17031030102,301.02,031,2.1464999736967223e-4,1643863.7405430095,0.004259541618276741,37
17031030103,301.03,031,2.1464999736967223e-4,1643863.7405430095,0.008910937386408154,131
17031030706,307.06,031,2.1464999736967223e-4,1643863.7405430095,0.0015073491907627522,161
17031061902,619.02,031,2.2456331730049152e-4,1300434.665463476,0.0019096954623133708,38
17031063303,633.03,031,2.1464999736967223e-4,1643863.7405430095,0.0027124216804155147,284
17031030601,306.01,031,2.1464999736967223e-4,1643863.7405430095,0.004117903232333224,95
17031081202,812.02,031,2.1464999736967223e-4,1643863.7405430095,0.002003614119144037,195
17031220601,2206.01,031,2.3966564966417287e-4,3102069.139123783,0.0023206956637822594,173
17031040401,404.01,031,2.1464999736967223e-4,1643863.7405430095,6.19829466870743e-4,386
