GEO.id,GEO.id2,GEO.display-label,total,poverty,per_poverty
1400000US06067004903,6067004903,"Census Tract 49.03, Sacramento County, California",6910,2718,39.3
1400000US06067004904,6067004904,"Census Tract 49.04, Sacramento County, California",5892,1055,17.9
1400000US06067004905,6067004905,"Census Tract 49.05, Sacramento County, California",7067,1286,18.2
1400000US06067004906,6067004906,"Census Tract 49.06, Sacramento County, California",3072,780,25.4
1400000US06067005001,6067005001,"Census Tract 50.01, Sacramento County, California",8980,2915,32.5
1400000US06067005002,6067005002,"Census Tract 50.02, Sacramento County, California",6151,2044,33.2
1400000US06067005101,6067005101,"Census Tract 51.01, Sacramento County, California",4273,1632,38.2
1400000US06067005102,6067005102,"Census Tract 51.02, Sacramento County, California",4755,1105,23.2
1400000US06067005201,6067005201,"Census Tract 52.01, Sacramento County, California",1608,737,45.8
1400000US06067005202,6067005202,"Census Tract 52.02, Sacramento County, California",3236,520,16.1
1400000US06067005204,6067005204,"Census Tract 52.04, Sacramento County, California",4307,453,10.5
1400000US06067005205,6067005205,"Census Tract 52.05, Sacramento County, California",1861,661,35.5
1400000US06067005301,6067005301,"Census Tract 53.01, Sacramento County, California",1137,797,70.1
1400000US06067005402,6067005402,"Census Tract 54.02, Sacramento County, California",2534,828,32.7
1400000US06067005403,6067005403,"Census Tract 54.03, Sacramento County, California",2380,668,28.1
1400000US06067005404,6067005404,"Census Tract 54.04, Sacramento County, California",5245,682,13
1400000US06067005502,6067005502,"Census Tract 55.02, Sacramento County, California",5406,1976,36.6
1400000US06067005505,6067005505,"Census Tract 55.05, Sacramento County, California",5498,2255,41
1400000US06067005506,6067005506,"Census Tract 55.06, Sacramento County, California",3245,1133,34.9
1400000US06067005508,6067005508,"Census Tract 55.08, Sacramento County, California",3321,878,26.4
1400000US06067005509,6067005509,"Census Tract 55.09, Sacramento County, California",1799,501,27.8
1400000US06067005510,6067005510,"Census Tract 55.10, Sacramento County, California",4573,1250,27.3
1400000US06067005601,6067005601,"Census Tract 56.01, Sacramento County, California",4639,1551,33.4
1400000US06067005605,6067005605,"Census Tract 56.05, Sacramento County, California",3476,1044,30
1400000US06067005606,6067005606,"Census Tract 56.06, Sacramento County, California",4444,305,6.9
1400000US06067005701,6067005701,"Census Tract 57.01, Sacramento County, California",3050,177,5.8
1400000US06067005702,6067005702,"Census Tract 57.02, Sacramento County, California",4613,159,3.4
1400000US06067005801,6067005801,"Census Tract 58.01, Sacramento County, California",5527,342,6.2
1400000US06067005803,6067005803,"Census Tract 58.03, Sacramento County, California",3692,145,3.9
1400000US06067005804,6067005804,"Census Tract 58.04, Sacramento County, California",2486,23,0.9
1400000US06067005901,6067005901,"Census Tract 59.01, Sacramento County, California",6183,286,4.6
1400000US06067005903,6067005903,"Census Tract 59.03, Sacramento County, California",2169,468,21.6
1400000US06067005904,6067005904,"Census Tract 59.04, Sacramento County, California",4818,858,17.8
1400000US06067006002,6067006002,"Census Tract 60.02, Sacramento County, California",4131,1140,27.6
1400000US06067006003,6067006003,"Census Tract 60.03, Sacramento County, California",4576,1494,32.6
1400000US06067006004,6067006004,"Census Tract 60.04, Sacramento County, California",2511,276,11
