GEO.id,GEO.id2,GEO.display-label,total,poverty,per_poverty
1400000US17031241600,17031241600,"Census Tract 2416, Cook County, Illinois",3541,519,14.7
1400000US17031242000,17031242000,"Census Tract 2420, Cook County, Illinois",4901,850,17.3
1400000US17031242100,17031242100,"Census Tract 2421, Cook County, Illinois",3622,221,6.1
1400000US17031242200,17031242200,"Census Tract 2422, Cook County, Illinois",3642,505,13.9
1400000US17031242300,17031242300,"Census Tract 2423, Cook County, Illinois",3088,255,8.3
1400000US17031242400,17031242400,"Census Tract 2424, Cook County, Illinois",2762,256,9.3
1400000US17031242500,17031242500,"Census Tract 2425, Cook County, Illinois",3958,617,15.6
1400000US17031242600,17031242600,"Census Tract 2426, Cook County, Illinois",6154,1419,23.1
1400000US17031242700,17031242700,"Census Tract 2427, Cook County, Illinois",1665,586,35.2
1400000US17031242800,17031242800,"Census Tract 2428, Cook County, Illinois",1378,169,12.3
1400000US17031242900,17031242900,"Census Tract 2429, Cook County, Illinois",1656,164,9.9
1400000US17031243000,17031243000,"Census Tract 2430, Cook County, Illinois",2186,140,6.4
1400000US17031243100,17031243100,"Census Tract 2431, Cook County, Illinois",2445,288,11.8
1400000US17031243200,17031243200,"Census Tract 2432, Cook County, Illinois",2226,260,11.7
1400000US17031243300,17031243300,"Census Tract 2433, Cook County, Illinois",2468,303,12.3
1400000US17031243400,17031243400,"Census Tract 2434, Cook County, Illinois",2677,314,11.7
1400000US17031243500,17031243500,"Census Tract 2435, Cook County, Illinois",3241,375,11.6
1400000US17031250200,17031250200,"Census Tract 2502, Cook County, Illinois",2828,738,26.1
1400000US17031250300,17031250300,"Census Tract 2503, Cook County, Illinois",4864,1863,38.3
1400000US17031250400,17031250400,"Census Tract 2504, Cook County, Illinois",5051,1407,27.9
1400000US17031250500,17031250500,"Census Tract 2505, Cook County, Illinois",7999,990,12.4
1400000US17031250600,17031250600,"Census Tract 2506, Cook County, Illinois",4088,502,12.3
1400000US17031250700,17031250700,"Census Tract 2507, Cook County, Illinois",5247,1386,26.4
1400000US17031250800,17031250800,"Census Tract 2508, Cook County, Illinois",2444,785,32.1
1400000US17031251000,17031251000,"Census Tract 2510, Cook County, Illinois",1064,233,21.9
1400000US17031251100,17031251100,"Census Tract 2511, Cook County, Illinois",4231,1676,39.6
1400000US17031251200,17031251200,"Census Tract 2512, Cook County, Illinois",4301,1142,26.6
1400000US17031251300,17031251300,"Census Tract 2513, Cook County, Illinois",4686,1208,25.8
1400000US17031251400,17031251400,"Census Tract 2514, Cook County, Illinois",4670,1452,31.1
1400000US17031251500,17031251500,"Census Tract 2515, Cook County, Illinois",4343,1645,37.9
1400000US17031251600,17031251600,"Census Tract 2516, Cook County, Illinois",3863,1194,30.9
1400000US17031251700,17031251700,"Census Tract 2517, Cook County, Illinois",1301,546,42
1400000US17031251800,17031251800,"Census Tract 2518, Cook County, Illinois",5469,2165,39.6
1400000US17031251900,17031251900,"Census Tract 2519, Cook County, Illinois",4787,2403,50.2
1400000US17031252000,17031252000,"Census Tract 2520, Cook County, Illinois",5581,1825,32.7
1400000US17031252101,17031252101,"Census Tract 2521.01, Cook County, Illinois",1440,402,27.9
1400000US17031252102,17031252102,"Census Tract 2521.02, Cook County, Illinois",6866,2076,30.2
1400000US17031252201,17031252201,"Census Tract 2522.01, Cook County, Illinois",2472,797,32.2
1400000US17031252202,17031252202,"Census Tract 2522.02, Cook County, Illinois",5111,1899,37.2
1400000US17031260100,17031260100,"Census Tract 2601, Cook County, Illinois",1201,685,57
1400000US17031260200,17031260200,"Census Tract 2602, Cook County, Illinois",1121,523,46.7
1400000US17031260300,17031260300,"Census Tract 2603, Cook County, Illinois",1639,490,29.9
1400000US17031260400,17031260400,"Census Tract 2604, Cook County, Illinois",1408,876,62.2
1400000US17031260500,17031260500,"Census Tract 2605, Cook County, Illinois",1675,771,46
1400000US17031260600,17031260600,"Census Tract 2606, Cook County, Illinois",1961,1003,51.1
1400000US17031260700,17031260700,"Census Tract 2607, Cook County, Illinois",1906,990,51.9
1400000US17031260800,17031260800,"Census Tract 2608, Cook County, Illinois",2524,1292,51.2
1400000US17031260900,17031260900,"Census Tract 2609, Cook County, Illinois",1425,586,41.1
1400000US17031261000,17031261000,"Census Tract 2610, Cook County, Illinois",2479,977,39.4
1400000US17031270500,17031270500,"Census Tract 2705, Cook County, Illinois",1817,899,49.5
1400000US17031271200,17031271200,"Census Tract 2712, Cook County, Illinois",1251,616,49.2
1400000US17031271300,17031271300,"Census Tract 2713, Cook County, Illinois",1341,737,55
1400000US17031271400,17031271400,"Census Tract 2714, Cook County, Illinois",1179,485,41.1
1400000US17031271500,17031271500,"Census Tract 2715, Cook County, Illinois",1452,562,38.7
1400000US17031271800,17031271800,"Census Tract 2718, Cook County, Illinois",967,677,70
1400000US17031280100,17031280100,"Census Tract 2801, Cook County, Illinois",6725,366,5.4
1400000US17031280400,17031280400,"Census Tract 2804, Cook County, Illinois",1638,802,49
1400000US17031280800,17031280800,"Census Tract 2808, Cook County, Illinois",973,295,30.3
1400000US17031280900,17031280900,"Census Tract 2809, Cook County, Illinois",1007,505,50.1
